Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Maize,36613,1485.0,121.0,16.37
Potatoes,66667,1485.0,121.0,16.37
"Rice, paddy",23333,1485.0,121.0,16.37
Sorghum,12500,1485.0,121.0,16.37
Soybeans,7000,1485.0,121.0,16.37
Wheat,30197,1485.0,121.0,16.37
Maize,29068,1485.0,121.0,15.36
Potatoes,77818,1485.0,121.0,15.36
"Rice, paddy",28538,1485.0,121.0,15.36
Sorghum,6667,1485.0,121.0,15.36
Soybeans,6066,1485.0,121.0,15.36
Wheat,20698,1485.0,121.0,15.36
Maize,24876,1485.0,121.0,16.06
Potatoes,82920,1485.0,121.0,16.06
"Rice, paddy",40000,1485.0,121.0,16.06
Sorghum,3747,1485.0,121.0,16.06
Soybeans,4507,1485.0,121.0,16.06
Wheat,24388,1485.0,121.0,16.06
Maize,24185,1485.0,121.0,16.05
Potatoes,98446,1485.0,121.0,16.05
"Rice, paddy",41786,1485.0,121.0,16.05
Soybeans,7998,1485.0,121.0,16.05
Wheat,29976,1485.0,121.0,16.05
Maize,25848,1485.0,201.0,16.96
Potatoes,81404,1485.0,201.0,16.96
Soybeans,7927,1485.0,201.0,16.96
Wheat,24745,1485.0,201.0,16.96
Maize,31300,1485.0,251.0,15.67
Potatoes,111323,1485.0,251.0,15.67
Soybeans,11791,1485.0,251.0,15.67
Wheat,28703,1485.0,251.0,15.67
Maize,32604,1485.0,313.96,15.64
Potatoes,106138,1485.0,313.96,15.64
Soybeans,15480,1485.0,313.96,15.64
Wheat,21741,1485.0,313.96,15.64
Maize,31862,1485.0,376.93,15.9
Potatoes,109874,1485.0,376.93,15.9
Soybeans,12768,1485.0,376.93,15.9
Wheat,28516,1485.0,376.93,15.9
Maize,33416,1485.0,439.89,16.27
Potatoes,127212,1485.0,439.89,16.27
Soybeans,14327,1485.0,439.89,16.27
Wheat,28037,1485.0,439.89,16.27
Maize,37455,1485.0,502.86,16.57
Potatoes,142018,1485.0,502.86,16.57
Soybeans,17143,1485.0,502.86,16.57
Wheat,24954,1485.0,502.86,16.57
Maize,38811,1485.0,565.82,16.67
Potatoes,141228,1485.0,565.82,16.67
Soybeans,15000,1485.0,565.82,16.67
Wheat,30455,1485.0,565.82,16.67
Maize,38135,1485.0,628.79,16.59
Potatoes,148818,1485.0,628.79,16.59
Soybeans,20000,1485.0,628.79,16.59
Wheat,28220,1485.0,628.79,16.59
Maize,39460,1485.0,691.75,16.47
Potatoes,153868,1485.0,691.75,16.47
Soybeans,20000,1485.0,691.75,16.47
Wheat,31617,1485.0,691.75,16.47
Maize,46197,1485.0,817.68,16.16
Potatoes,149346,1485.0,817.68,16.16
Soybeans,13333,1485.0,817.68,16.16
Wheat,31130,1485.0,817.68,16.16
Maize,45442,1485.0,880.64,15.67
Potatoes,167061,1485.0,880.64,15.67
Soybeans,17500,1485.0,880.64,15.67
Wheat,31582,1485.0,880.64,15.67
Maize,50111,1485.0,943.61,15.92
Potatoes,170745,1485.0,943.61,15.92
Soybeans,20000,1485.0,943.61,15.92
Wheat,30787,1485.0,943.61,15.92
Maize,46732,1485.0,1006.57,16.67
Potatoes,188902,1485.0,1006.57,16.67
Soybeans,20000,1485.0,1006.57,16.67
Wheat,35496,1485.0,1006.57,16.67
Maize,50000,1485.0,1069.54,16.71
Potatoes,193878,1485.0,1069.54,16.71
Soybeans,20000,1485.0,1069.54,16.71
Wheat,40168,1485.0,1069.54,16.71
Maize,55693,1485.0,1132.5,16.73
Potatoes,219780,1485.0,1132.5,16.73
Soybeans,16667,1485.0,1132.5,16.73
Wheat,40229,1485.0,1132.5,16.73
Maize,66790,1485.0,1311.17,16.52
Potatoes,231111,1485.0,1311.17,16.52
Soybeans,16667,1485.0,1311.17,16.52
Wheat,39905,1485.0,1311.17,16.52
Maize,59869,1485.0,1302.63,16.45
Potatoes,242211,1485.0,1302.63,16.45
Soybeans,18519,1485.0,1302.63,16.45
Wheat,42301,1485.0,1302.63,16.45
Maize,67290,1485.0,766.25,16.7
Potatoes,250538,1485.0,766.25,16.7
Soybeans,13333,1485.0,766.25,16.7
Wheat,41096,1485.0,766.25,16.7
Maize,69533,1485.0,982.32,17.41
Potatoes,260110,1485.0,982.32,17.41
Soybeans,10000,1485.0,982.32,17.41
Wheat,41292,1485.0,982.32,17.41
Maize,16500,89.0,1828.92,17.48
Potatoes,78936,89.0,1828.92,17.48
"Rice, paddy",28000,89.0,1828.92,17.48
